id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
28,benrenshoucui,3.2,询问今日能否还款,哦换个屁啊,哦换个屁啊,5.6,不同意今日还款,no
29,df,3.2,询问今日能否还款,啊知道过两天给你,啊知道过两天给你,5.6,不同意今日还款,no
30,df,3.2,询问今日能否还款,到十五号,到十五号,5.6,不同意今日还款,no
31,RESC,3.2,询问今日能否还款,嗯嗯今天不行啊,嗯今天不行啊,5.6,不同意今日还款,no
32,RESC,3.2,询问今日能否还款,嗯还解决不了我那个有的尽快找过去最近对焦怎么办,嗯还解决不了我那个有的尽快找过去最近对焦怎么办,5.6,不同意今日还款,no
33,RESC,3.2,询问今日能否还款,现在还没有要过几天还款的到啊,现在还没有要过几天还款的到啊,5.6,不同意今日还款,no
34,df,3.2,询问今日能否还款,要十五号的,要十五号的,5.6,不同意今日还款,no
35,benrenshoucui,3.2,询问今日能否还款,啊明天差不多明,啊明天差不多明,5.6,不同意今日还款,no
36,benrenshoucui,3.2,询问今日能否还款,啊不不能,啊不不能,5.6,不同意今日还款,no
37,benrenshoucui,3.2,询问今日能否还款,十号十号给你打过来,十号给你打过来,5.6,不同意今日还款,no
38,RESC,3.2,询问今日能否还款,啊你知道吧我没钱呐,啊你知道吧我没钱呐,5.6,不同意今日还款,no
39,df,3.2,询问今日能否还款,哦哦十一号吧,哦十一号吧,5.6,不同意今日还款,no
40,df,3.2,询问今日能否还款,啊十五号之前给他们处理了好吧因为上个月工资还没发,啊十五号之前给他们处理了好吧因为上个月工资还没发,5.6,不同意今日还款,no
41,benrenshoucui,3.2,询问今日能否还款,过两天吧我今天,过两天吧我今天,5.6,不同意今日还款,no
42,benrenshoucui,3.2,询问今日能否还款,那可能处理不了吧,那可能处理不了吧,5.6,不同意今日还款,no
43,benrenshoucui,3.2,询问今日能否还款,啊今天查不了,啊今天查不了,5.6,不同意今日还款,no
44,RESC,3.2,询问今日能否还款,嗯那个我还在想办法因为现在资金的出现一些问题,嗯那个我还在想办法因为现在资金的出现一些问题,5.6,不同意今日还款,no
45,benrenshoucui,3.2,询问今日能否还款,我今天处理不了我说月底到星期五星期五晚上可以吗,我今天处理不了我说月底到星期五晚上可以吗,5.6,不同意今日还款,no
46,RESC,3.2,询问今日能否还款,今天上班没办法,今天上班没办法,5.6,不同意今日还款,no
47,benrenshoucui,3.2,询问今日能否还款,现在划不了大概时侯有吗,现在划不了大概时侯有吗,5.6,不同意今日还款,no
48,RESC,3.2,询问今日能否还款,我现在还不行我有工资还没发,我现在还不行我有工资还没发,5.6,不同意今日还款,no
49,benrenshoucui,3.2,询问今日能否还款,不行了所以说张勇为准,不行了所以说张勇为准,5.6,不同意今日还款,no
50,benrenshoucui,3.2,询问今日能否还款,今天没有时间呢,今天没有时间呢,5.6,不同意今日还款,no
51,benrenshoucui,3.2,询问今日能否还款,我们过几天我我,我们过几天我,5.6,不同意今日还款,no
52,df,3.2,询问今日能否还款,啊知道知道哦这两天这两天发上去啊好,啊知道哦这两天这两天发上去啊好,5.6,不同意今日还款,no
53,RESC,3.2,询问今日能否还款,嗯估计他不能,嗯估计他不能,5.6,不同意今日还款,no
54,RESC,3.2,询问今日能否还款,哦这个大概暂时不能吧,哦这个大概暂时不能吧,5.6,不同意今日还款,no
55,benrenshoucui,3.2,询问今日能否还款,今天都留不了,今天都留不了,5.6,不同意今日还款,no
56,benrenshoucui,3.2,询问今日能否还款,额除以还款是十号到十一号嘛我每个月都是十号十一号发工资,额除以还款是十号到十一号嘛我每个月都是十号十一号发工资,5.6,不同意今日还款,no
57,RESC,3.2,询问今日能否还款,嗯知道自己没有钱了,嗯知道自己没有钱了,5.6,不同意今日还款,no
58,RESC,3.2,询问今日能否还款,今天处理不了过量吗个一点我想办法好吧,今天处理不了过量吗个一点我想办法好吧,5.6,不同意今日还款,no
59,RESC,3.2,询问今日能否还款,今天还不能,今天还不能,5.6,不同意今日还款,no
60,benrenshoucui,3.2,询问今日能否还款,今天不行到明天了,今天不行到明天了,5.6,不同意今日还款,no
61,benrenshoucui,3.2,询问今日能否还款,哎今天不行你这样吧你你这样我你什么时候我这个卡里面我卡里面打了钱里面直接扣好吧,哎今天不行你这样吧你这样我你什么时候我这个卡里面我卡里面打了钱里面直接扣好吧,5.6,不同意今日还款,no
62,benrenshoucui,3.2,询问今日能否还款,嗯怎么了我现在暂时呃过两天还吧好吧现在不在不在那个不在不知道我在外地,嗯怎么了我现在暂时呃过两天还吧好吧现在不在不在那个不在不知道我在外地,5.6,不同意今日还款,no
63,benrenshoucui,3.2,询问今日能否还款,还不了啊,还不了啊,5.6,不同意今日还款,no
64,benrenshoucui,3.2,询问今日能否还款,今天处理不了明天上午好吗明天上午,今天处理不了明天上午好吗明天上午,5.6,不同意今日还款,no
65,benrenshoucui,3.2,询问今日能否还款,今天还不上我的上限,今天还不上我的上限,5.6,不同意今日还款,no
66,benrenshoucui,3.2,询问今日能否还款,今天没办法,今天没办法,5.6,不同意今日还款,no
67,df,3.2,询问今日能否还款,嗯我知道知道我想明天后天再大跨径作为一直凶猛吧,嗯我知道知道我想明天后天再大跨径作为一直凶猛吧,5.6,不同意今日还款,no
68,benrenshoucui,3.2,询问今日能否还款,今天可能搞不好啊,今天可能搞不好啊,5.6,不同意今日还款,no
69,benrenshoucui,3.2,询问今日能否还款,不能够处理了,不能够处理了,5.6,不同意今日还款,no
70,RESC,3.2,询问今日能否还款,你今天让我知道应该还没发工资,你今天让我知道应该还没发工资,5.6,不同意今日还款,no
71,benrenshoucui,3.2,询问今日能否还款,啊可以要晚一点吗,啊可以要晚一点吗,5.6,不同意今日还款,no
72,RESC,3.2,询问今日能否还款,今天没有,今天没有,5.6,不同意今日还款,no
73,df,3.2,询问今日能否还款,今天不能提额,今天不能提额,5.6,不同意今日还款,no
74,benrenshoucui,3.2,询问今日能否还款,应该不行过个两三天了,应该不行过个两三天了,5.6,不同意今日还款,no
75,RESC,3.2,询问今日能否还款,我想这没钱了,我想这没钱了,5.6,不同意今日还款,no
76,benrenshoucui,3.2,询问今日能否还款,哎我我知道我在但是我就不知道怎么打电话通知你们我想推迟到星期二,哎我我知道我在但是我就不知道怎么打电话通知你们我想推迟到星期二,5.6,不同意今日还款,no
77,benrenshoucui,3.2,询问今日能否还款,哦那跟我说了知道知道我这样我真正想通知里面我这两天我人在外地过过过一点过两天我就回来回来我就把那个上上上因为我早上钱已经不够我知道了到时候还不够,哦那跟我说了知道我这样我真正想通知里面我这两天我人在外地过过过一点过两天我就回来我就把那个上因为我早上钱已经不够我知道了到时候还不够,5.6,不同意今日还款,no
78,benrenshoucui,3.2,询问今日能否还款,今天还不了就可以那天吧,今天还不了就可以那天吧,5.6,不同意今日还款,no
79,df,3.2,询问今日能否还款,今天我还在外地外面呢,今天我还在外地外面呢,5.6,不同意今日还款,no
80,RESC,3.2,询问今日能否还款,哦哦嗯嗯今天没办法先生不是,哦嗯今天没办法先生不是,5.6,不同意今日还款,no
81,RESC,3.2,询问今日能否还款,嗯还得等几天到三十号吧,嗯还得等几天到三十号吧,5.6,不同意今日还款,no
82,benrenshoucui,3.2,询问今日能否还款,嗯处理不了,嗯处理不了,5.6,不同意今日还款,no
83,RESC,3.2,询问今日能否还款,啊能不能到三十号,啊能不能到三十号,5.6,不同意今日还款,no
84,RESC,3.2,询问今日能否还款,我最近遇到了一点困难,我最近遇到了一点困难,5.6,不同意今日还款,no
85,df,3.2,询问今日能否还款,哦后天吧,哦后天吧,5.6,不同意今日还款,no
86,df,3.2,询问今日能否还款,今天搞了今天不在家,今天搞了今天不在家,5.6,不同意今日还款,no
87,RESC,3.2,询问今日能否还款,呃今天就点一下下个月,呃今天就点一下下个月,5.6,不同意今日还款,no
88,benrenshoucui,3.2,询问今日能否还款,今天不行谢谢,今天不行谢谢,5.6,不同意今日还款,no
89,RESC,3.2,询问今日能否还款,我还不进去啊,我还不进去啊,5.6,不同意今日还款,no
90,RESC,3.2,询问今日能否还款,嗯那给我看吧啊不是今天给我工资到这段时间没发给我没法,嗯那给我看吧啊不是今天给我工资到这段时间没发给我没法,5.6,不同意今日还款,no
91,df,3.2,询问今日能否还款,啊没钱啊,啊没钱啊,5.6,不同意今日还款,no
92,benrenshoucui,3.2,询问今日能否还款,不说今天星期天那还不了,不说今天星期天那还不了,5.6,不同意今日还款,no
93,RESC,3.2,询问今日能否还款,曾经处理不了,曾经处理不了,5.6,不同意今日还款,no
94,df,3.2,询问今日能否还款,你天天应该不行,你天天应该不行,5.6,不同意今日还款,no
95,RESC,3.2,询问今日能否还款,今天不是,今天不是,5.6,不同意今日还款,no
96,benrenshoucui,3.2,询问今日能否还款,哦我没有钱花不了进去,哦我没有钱花不了进去,5.6,不同意今日还款,no
97,benrenshoucui,3.2,询问今日能否还款,明天可以吗因为今天有点事情我明天充值可以吧,明天可以吗因为今天有点事情我明天充值可以吧,5.6,不同意今日还款,no
98,benrenshoucui,3.2,询问今日能否还款,我今天我没还,我今天我没还,5.6,不同意今日还款,no
99,RESC,3.2,询问今日能否还款,嗯今天暂时没有,嗯今天暂时没有,5.6,不同意今日还款,no
100,benrenshoucui,3.2,询问今日能否还款,哦今天有点困难明天可以你前面你你不是人工服务吧不是那个电脑吧,哦今天有点困难明天可以你前面你不是人工服务吧不是那个电脑吧,5.6,不同意今日还款,no
101,df,3.2,询问今日能否还款,哦哦这个时间也忙的,哦这个时间也忙的,5.6,不同意今日还款,no
102,benrenshoucui,3.2,询问今日能否还款,明天不能,明天不能,5.6,不同意今日还款,no
103,df,3.2,询问今日能否还款,你老家所以说我这几天不在这个,你老家所以说我这几天不在这个,5.6,不同意今日还款,no
104,df,3.2,询问今日能否还款,今天刚好没有钱换了没得吃,今天刚好没有钱换了没得吃,5.6,不同意今日还款,no
105,benrenshoucui,3.2,询问今日能否还款,我今天不行就就这一半天发到公司吧后来我就处理好吧,我今天不行就这一半天发到公司吧后来我就处理好吧,5.6,不同意今日还款,no
106,df,3.2,询问今日能否还款,今天呀今天可能不行吧,今天呀今天可能不行吧,5.6,不同意今日还款,no
107,benrenshoucui,3.2,询问今日能否还款,今天还不上今天,今天还不上今天,5.6,不同意今日还款,no
108,df,3.2,询问今日能否还款,五号,五号,5.6,不同意今日还款,no
109,benrenshoucui,3.2,询问今日能否还款,处理不了我现在要长那边发出人家二十号发工资,处理不了我现在要长那边发出人家二十号发工资,5.6,不同意今日还款,no
110,df,3.2,询问今日能否还款,今天不能啊我就说了十号,今天不能啊我就说了十号,5.6,不同意今日还款,no
111,benrenshoucui,3.2,询问今日能否还款,我就这两天还进去吧,我就这两天还进去吧,5.6,不同意今日还款,no
112,benrenshoucui,3.2,询问今日能否还款,今天不不行因为我刚才不跟你讲话原来之前就是实习有钱用的太多我十五号的话工资对吧允许呗对不对,今天不不行因为我刚才不跟你讲话原来之前就是实习有钱用的太多我十五号的话工资对吧允许呗对不对,5.6,不同意今日还款,no
113,df,3.2,询问今日能否还款,喂哎今天还差一点在在工地要查的没还没有用够三千多他查一下,喂哎今天还差一点在工地要查的没还没有用够三千多他查一下,5.6,不同意今日还款,no
114,benrenshoucui,3.2,询问今日能否还款,恩我今天还不上,恩我今天还不上,5.6,不同意今日还款,no
115,benrenshoucui,3.2,询问今日能否还款,这个三天之内可以吗,这个三天之内可以吗,5.6,不同意今日还款,no
116,benrenshoucui,3.2,询问今日能否还款,我不想还呢,我不想还呢,5.6,不同意今日还款,no
117,RESC,3.2,询问今日能否还款,要迟些时候好像,要迟些时候好像,5.6,不同意今日还款,no
118,benrenshoucui,3.2,询问今日能否还款,知道每天还得上去现在没钱,知道每天还得上去现在没钱,5.6,不同意今日还款,no
119,benrenshoucui,3.2,询问今日能否还款,我今天不玩二十号在还我知道啊,我今天不玩二十号在还我知道啊,5.6,不同意今日还款,no
120,benrenshoucui,3.2,询问今日能否还款,今天处理不了等两天,今天处理不了等两天,5.6,不同意今日还款,no
121,df,3.2,询问今日能否还款,不缴,不缴,5.6,不同意今日还款,no
122,df,3.2,询问今日能否还款,嗯今天不能够,嗯今天不能够,5.6,不同意今日还款,no
123,benrenshoucui,3.2,询问今日能否还款,今天没有时间啊,今天没有时间啊,5.6,不同意今日还款,no
124,benrenshoucui,3.2,询问今日能否还款,今天不能吧,今天不能吧,5.6,不同意今日还款,no
125,benrenshoucui,3.2,询问今日能否还款,我今天来不了,我今天来不了,5.6,不同意今日还款,no
126,benrenshoucui,3.2,询问今日能否还款,我现在人在外面出差我明天还可以吗,我现在人在外面出差我明天还可以吗,5.6,不同意今日还款,no
127,df,3.2,询问今日能否还款,我知道我知道就这两天我会我回过来,我知道就这两天我会我回过来,5.6,不同意今日还款,no
128,benrenshoucui,3.2,询问今日能否还款,我说四号今天不行,我说四号今天不行,5.6,不同意今日还款,no
129,benrenshoucui,3.2,询问今日能否还款,还不上我说我刚才你说的呢,还不上我说我刚才你说的呢,5.6,不同意今日还款,no
130,benrenshoucui,3.2,询问今日能否还款,现在没钱挂失电脑拷里面,现在没钱挂失电脑拷里面,5.6,不同意今日还款,no
131,RESC,3.2,询问今日能否还款,今天今天有困难就可能三百号,今天有困难就可能三百号,5.6,不同意今日还款,no
132,RESC,3.2,询问今日能否还款,今天能处理不了,今天能处理不了,5.6,不同意今日还款,no
133,benrenshoucui,3.2,询问今日能否还款,嗯嗯今天可能不行因为那边呃我这边已经也是一直在这个要这个钱跟他他我明天,嗯今天可能不行因为那边呃我这边已经也是一直在这个要这个钱跟他我明天,5.6,不同意今日还款,no
134,df,3.2,询问今日能否还款,你能放不了今天还不,你能放不了今天还不,5.6,不同意今日还款,no
135,df,3.2,询问今日能否还款,我估计可能够呛因为我现在发工资的事去改了我之前是,我估计可能够呛因为我现在发工资的事去改了我之前是,5.6,不同意今日还款,no
136,RESC,3.2,询问今日能否还款,我今天还不能,我今天还不能,5.6,不同意今日还款,no
137,benrenshoucui,3.2,询问今日能否还款,停电还不了,停电还不了,5.6,不同意今日还款,no
138,df,3.2,询问今日能否还款,我知道那实在是没有办法那个这它上面加班太晚了你你回复来完了之后就就延期了一天没有那实在是没有办法了呃延期了因为我没有空啊我也,我知道那实在是没有办法那个这它上面加班太晚了你回复来完了之后就延期了一天没有那实在是没有办法了呃延期了因为我没有空啊我也,5.6,不同意今日还款,no
139,df,3.2,询问今日能否还款,什么意思你没钱吗,什么意思你没钱吗,5.6,不同意今日还款,no
140,df,3.2,询问今日能否还款,你好今天处理不了,你好今天处理不了,5.6,不同意今日还款,no
141,benrenshoucui,3.2,询问今日能否还款,今天处理不了我这边跑那个车那那前提还在没其他卡上,今天处理不了我这边跑那个车那前提还在没其他卡上,5.6,不同意今日还款,no
142,benrenshoucui,3.2,询问今日能否还款,啊今天处理不了,啊今天处理不了,5.6,不同意今日还款,no
143,RESC,3.2,询问今日能否还款,今天不能月底,今天不能月底,5.6,不同意今日还款,no
144,df,3.2,询问今日能否还款,好这边不行,好这边不行,5.6,不同意今日还款,no
145,df,3.2,询问今日能否还款,啊我刚才给他发那个信息他们没有回来我给他说说五月二十号之前给他还进去,啊我刚才给他发那个信息他们没有回来我给他说五月二十号之前给他还进去,5.6,不同意今日还款,no
146,df,3.2,询问今日能否还款,所以我现在在老家没有和银行卡没有银行还款,所以我现在在老家没有和银行卡没有银行还款,5.6,不同意今日还款,no
147,RESC,3.2,询问今日能否还款,六月,六月,5.6,不同意今日还款,no
148,benrenshoucui,3.2,询问今日能否还款,嗯还不了,嗯还不了,5.6,不同意今日还款,no
149,benrenshoucui,3.2,询问今日能否还款,今天没钱明天吧,今天没钱明天吧,5.6,不同意今日还款,no
150,df,3.2,询问今日能否还款,今天处理不了不好意思,今天处理不了不好意思,5.6,不同意今日还款,no
151,benrenshoucui,3.2,询问今日能否还款,哦今天不方便明天可以,哦今天不方便明天可以,5.6,不同意今日还款,no
152,benrenshoucui,3.2,询问今日能否还款,今年在家园过不去,今年在家园过不去,5.6,不同意今日还款,no
153,benrenshoucui,3.2,询问今日能否还款,我到明天,我到明天,5.6,不同意今日还款,no
154,df,3.2,询问今日能否还款,上班搞忘了,上班搞忘了,5.6,不同意今日还款,no
155,benrenshoucui,3.2,询问今日能否还款,不管是不是逻辑就是老子是肯定不行了,不管是不是逻辑就是老子是肯定不行了,5.6,不同意今日还款,no
156,df,3.2,询问今日能否还款,那我根本没有钱呢,那我根本没有钱呢,5.6,不同意今日还款,no
157,df,3.2,询问今日能否还款,啊我给他说了他答应我礼拜礼拜天之前嘛电量把这个不呃把这个错因为我这边的那个呃支票有点问题出去到呃就有电出了一点问题吗出来因为问题昨天提前没提到知道吧我今天还没提到的你知道不,啊我给他说了他答应我礼拜礼拜天之前嘛电量把这个不呃把这个错因为我这边的那个呃支票有点问题出去到呃就有电出了一点问题吗出来因为问题昨天提前没提到知道吧我今天还没提到的你知道不,5.6,不同意今日还款,no
158,RESC,3.2,询问今日能否还款,警察处理不了,警察处理不了,5.6,不同意今日还款,no
159,RESC,3.2,询问今日能否还款,再来一个月把它还了,再来一个月把它还了,5.6,不同意今日还款,no
160,benrenshoucui,3.2,询问今日能否还款,今天可能没办法,今天可能没办法,5.6,不同意今日还款,no
161,df,3.2,询问今日能否还款,你要往一点电还那我知道那个钱搞过来了就我就会,你要往一点电还那我知道那个钱搞过来了就我就会,5.6,不同意今日还款,no
162,benrenshoucui,3.2,询问今日能否还款,这等这两天不,这等这两天不,5.6,不同意今日还款,no
163,RESC,3.2,询问今日能否还款,你一号吧,你一号吧,5.6,不同意今日还款,no
164,df,3.2,询问今日能否还款,哦我是这样子的你能不能帮我的时间可能今天啦行不行,哦我是这样子的你能不能帮我的时间可能今天啦行不行,5.6,不同意今日还款,no
165,RESC,3.2,询问今日能否还款,星期一吗星期一一定要我没退,星期一吗星期一一定要我没退,5.6,不同意今日还款,no
166,df,3.2,询问今日能否还款,啊知道啦过两天,啊知道啦过两天,5.6,不同意今日还款,no
167,benrenshoucui,3.2,询问今日能否还款,今天还不行是放假我还在放假中,今天还不行是放假我还在放假中,5.6,不同意今日还款,no
168,RESC,3.2,询问今日能否还款,啊今天处理不了啊这这这,啊今天处理不了啊这,5.6,不同意今日还款,no
169,RESC,3.2,询问今日能否还款,哦我知道我那个下个月还掉,哦我知道我那个下个月还掉,5.6,不同意今日还款,no
170,df,3.2,询问今日能否还款,啊我想请问一下可不可以就是你宽限那个呃一两天,啊我想请问一下可不可以就是你宽限那个呃一两天,5.6,不同意今日还款,no
171,RESC,3.2,询问今日能否还款,今天不行因为,今天不行因为,5.6,不同意今日还款,no
172,benrenshoucui,3.2,询问今日能否还款,哦今天可能不行,哦今天可能不行,5.6,不同意今日还款,no
173,df,3.2,询问今日能否还款,今天换不了了要,今天换不了了要,5.6,不同意今日还款,no
174,df,3.2,询问今日能否还款,啊我是咋回事呢我说要是这个钱我不给他交我现在跟他俩真到离婚了他把车开走了,啊我是咋回事呢我说要是这个钱我不给他交我现在跟他俩真到离婚了他把车开走了,5.6,不同意今日还款,no
175,df,3.2,询问今日能否还款,也不行明天也不行,也不行明天也不行,5.6,不同意今日还款,no
176,benrenshoucui,3.2,询问今日能否还款,我就是我提现了今天还没到账的我提到,我就是我提现了今天还没到账的我提到,5.6,不同意今日还款,no
177,df,3.2,询问今日能否还款,呃这天这天气啊今天可能发不了这几天,呃这天这天气啊今天可能发不了这几天,5.6,不同意今日还款,no
178,benrenshoucui,3.2,询问今日能否还款,明天吧现在没时间了好吧,明天吧现在没时间了好吧,5.6,不同意今日还款,no
179,benrenshoucui,3.2,询问今日能否还款,我今天没有网银明天存我有钱没有网页评点出来啊,我今天没有网银明天存我有钱没有网页评点出来啊,5.6,不同意今日还款,no
180,RESC,3.2,询问今日能否还款,啊今天今天还不行,啊今天还不行,5.6,不同意今日还款,no
181,benrenshoucui,3.2,询问今日能否还款,知道我的日到要到二十号才有才还款现在,知道我的日到要到二十号才有才还款现在,5.6,不同意今日还款,no
182,RESC,3.2,询问今日能否还款,哦哦今天不行英文,哦今天不行英文,5.6,不同意今日还款,no
183,benrenshoucui,3.2,询问今日能否还款,你今天不能,你今天不能,5.6,不同意今日还款,no
184,benrenshoucui,3.2,询问今日能否还款,处理不了,处理不了,5.6,不同意今日还款,no
185,benrenshoucui,3.2,询问今日能否还款,今天暂时还不上,今天暂时还不上,5.6,不同意今日还款,no
186,df,3.2,询问今日能否还款,嗯没办法了好多遍了,嗯没办法了好多遍了,5.6,不同意今日还款,no
187,benrenshoucui,3.2,询问今日能否还款,那你给我发过来我就今天还明天还不也行嘛你告诉他晚的,那你给我发过来我就今天还明天还不也行嘛你告诉他晚的,5.6,不同意今日还款,no
188,benrenshoucui,3.2,询问今日能否还款,我我不还款,我不还款,5.6,不同意今日还款,no
189,RESC,3.2,询问今日能否还款,那时间有点困难的,那时间有点困难的,5.6,不同意今日还款,no
190,RESC,3.2,询问今日能否还款,今天晚上不是今天还不了啊,今天晚上不是今天还不了啊,5.6,不同意今日还款,no
191,benrenshoucui,3.2,询问今日能否还款,哦就是知道但是我现在那个办公怎么过两天可以吗,哦就是知道但是我现在那个办公怎么过两天可以吗,5.6,不同意今日还款,no
192,benrenshoucui,3.2,询问今日能否还款,今天不能我要迟两天才能要八号以后,今天不能我要迟两天才能要八号以后,5.6,不同意今日还款,no
193,benrenshoucui,3.2,询问今日能否还款,啊今天还不行,啊今天还不行,5.6,不同意今日还款,no
194,df,3.2,询问今日能否还款,那个我现在的话才两天就吃了完了再补办我是这个金补办的话就说还没下来这大概我今天去做的话大概在,那个我现在的话才两天就吃了完了再补办我是这个金补办的话就说还没下来这大概我今天去做的话大概在,5.6,不同意今日还款,no
195,benrenshoucui,3.2,询问今日能否还款,哦就是明天,哦就是明天,5.6,不同意今日还款,no
196,RESC,3.2,询问今日能否还款,嗯今天不行都吓个礼拜了,嗯今天不行都吓个礼拜了,5.6,不同意今日还款,no
197,benrenshoucui,3.2,询问今日能否还款,呃今天不行我现在在外地我过两天回来那啥回到那个啥回家以后就给您转过去啊,呃今天不行我现在在外地我过两天回来那啥回到那个啥回家以后就给您转过去啊,5.6,不同意今日还款,no
198,benrenshoucui,3.2,询问今日能否还款,今天不可以我我要申请延期,今天不可以我要申请延期,5.6,不同意今日还款,no
199,df,3.2,询问今日能否还款,哦你那个看我工资没到我这怎么处理,哦你那个看我工资没到我这怎么处理,5.6,不同意今日还款,no
200,RESC,3.2,询问今日能否还款,今天处理不了我怎么过来就发工资发工资我说的,今天处理不了我怎么过来就发工资我说的,5.6,不同意今日还款,no
201,benrenshoucui,3.2,询问今日能否还款,呃它不是有三天的宽限期的,呃它不是有三天的宽限期的,5.6,不同意今日还款,no
202,df,3.2,询问今日能否还款,明天不行我在我心上,明天不行我在我心上,5.6,不同意今日还款,no
203,benrenshoucui,3.2,询问今日能否还款,恩应该到明天,恩应该到明天,5.6,不同意今日还款,no
204,df,3.2,询问今日能否还款,啊今天的不行,啊今天的不行,5.6,不同意今日还款,no
205,df,3.2,询问今日能否还款,我在十五号之前处理可以吧,我在十五号之前处理可以吧,5.6,不同意今日还款,no
206,df,3.2,询问今日能否还款,啊我知道知道嗯明天我这后天我把钱存上,啊我知道知道嗯明天我这后天我把钱存上,5.6,不同意今日还款,no
207,RESC,3.2,询问今日能否还款,哦今天可能出去不着吧我下个月十五号之前全部处理掉,哦今天可能出去不着吧我下个月十五号之前全部处理掉,5.6,不同意今日还款,no
208,benrenshoucui,3.2,询问今日能否还款,啊不可以大概两三天吧谢谢你啊,啊不可以大概两三天吧谢谢你啊,5.6,不同意今日还款,no
209,benrenshoucui,3.2,询问今日能否还款,不是我今天反不完我在我在二十六号二十六号早上扣款吧,不是我今天反不完我在我在二十六号二十六号早上扣款吧,5.6,不同意今日还款,no
210,RESC,3.2,询问今日能否还款,今天没办法就是没办法拿出看病花了一大笔钱宝贝你看你发了一大笔钱,今天没办法就是没办法拿出看病花了一大笔钱宝贝你看你发了一大笔钱,5.6,不同意今日还款,no
211,benrenshoucui,3.2,询问今日能否还款,我不知道这个事啊,我不知道这个事啊,5.6,不同意今日还款,no
212,benrenshoucui,3.2,询问今日能否还款,那天今天还不上现在有点事情,那天今天还不上现在有点事情,5.6,不同意今日还款,no
