id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
17,RESC,4.2,询问明日能否还款,不是这几天了就过了这几天能先下个礼拜我看一下,不是这几天了就过了这几天能先下个礼拜我看一下,5.4,不同意明日还款,no
18,df,4.2,询问明日能否还款,喂我现在资金都很紧张,喂我现在资金都很紧张,5.4,不同意明日还款,no
19,GHSC,4.2,询问明日能否还款,那礼拜一,那礼拜一,5.4,不同意明日还款,no
20,benrenshoucui,4.2,询问明日能否还款,哦明天明天也不处理了,哦明天也不处理了,5.4,不同意明日还款,no
21,RESC,4.2,询问明日能否还款,啊下个月月初开通舞姿才可以,啊下个月月初开通舞姿才可以,5.4,不同意明日还款,no
22,GHSC,4.2,询问明日能否还款,现在真的是暂时去不了我们退咋样处理了,现在真的是暂时去不了我们退咋样处理了,5.4,不同意明日还款,no
23,df,4.2,询问明日能否还款,我没跟我说不是九月份才还吗,我没跟我说不是九月份才还吗,5.4,不同意明日还款,no
24,GHSC,4.2,询问明日能否还款,六月十四号,六月十四号,5.4,不同意明日还款,no
25,benrenshoucui,4.2,询问明日能否还款,哦明天处理不了昨天嘛昨天他嗯,哦明天处理不了昨天嘛昨天他嗯,5.4,不同意明日还款,no
26,RESC,4.2,询问明日能否还款,要到月底,要到月底,5.4,不同意明日还款,no
27,RESC,4.2,询问明日能否还款,宝因为现在暂时困难,宝因为现在暂时困难,5.4,不同意明日还款,no
28,RESC,4.2,询问明日能否还款,知道知道知道我尽量这几天还上去吗哈,知道我尽量这几天还上去吗哈,5.4,不同意明日还款,no
29,df,4.2,询问明日能否还款,明天可能真的搞不好十五号十五号我肯定可以搞好的,明天可能真的搞不好十五号我肯定可以搞好的,5.4,不同意明日还款,no
30,GHSC,4.2,询问明日能否还款,他现在没有钱,他现在没有钱,5.4,不同意明日还款,no
31,RESC,4.2,询问明日能否还款,这几天可能处理不了,这几天可能处理不了,5.4,不同意明日还款,no
32,df,4.2,询问明日能否还款,有印象我这边的话可能要在这个十六号才能还款,有印象我这边的话可能要在这个十六号才能还款,5.4,不同意明日还款,no
33,df,4.2,询问明日能否还款,每一个月都是十五号发的,每一个月都是十五号发的,5.4,不同意明日还款,no
34,df,4.2,询问明日能否还款,我这边要我这边要办过两天,我这边要我这边要办过两天,5.4,不同意明日还款,no
35,df,4.2,询问明日能否还款,申请宽限事情,申请宽限事情,5.4,不同意明日还款,no
36,GHSC,4.2,询问明日能否还款,哦现在不是没有钱啊过了下个月还嘛好吧,哦现在不是没有钱啊过了下个月还嘛好吧,5.4,不同意明日还款,no
37,benrenshoucui,4.2,询问明日能否还款,哦知道我我我我现在工资卡现在改时间了显示让我想十八号,哦知道我现在工资卡现在改时间了显示让我想十八号,5.4,不同意明日还款,no
38,df,4.2,询问明日能否还款,明天吃不了吧你听见吗,明天吃不了吧你听见吗,5.4,不同意明日还款,no
39,RESC,4.2,询问明日能否还款,我六月二号能还,我六月二号能还,5.4,不同意明日还款,no
40,benrenshoucui,4.2,询问明日能否还款,明天还不行,明天还不行,5.4,不同意明日还款,no
41,RESC,4.2,询问明日能否还款,明天不行我看要下个月,明天不行我看要下个月,5.4,不同意明日还款,no
42,df,4.2,询问明日能否还款,明天不能处理啊明天,明天不能处理啊明天,5.4,不同意明日还款,no
43,RESC,4.2,询问明日能否还款,这几天可能都不行,这几天可能都不行,5.4,不同意明日还款,no
44,GHSC,4.2,询问明日能否还款,我把就就没钱,我把就没钱,5.4,不同意明日还款,no
45,benrenshoucui,4.2,询问明日能否还款,明天处理不了明天处理吧明天我我我我有事我们那好没事那我就如果后天后天都不叫我也要哦你放心这样可以吧,明天处理不了明天处理吧明天我有事我们那好没事那我就如果后天都不叫我也要哦你放心这样可以吧,5.4,不同意明日还款,no
46,RESC,4.2,询问明日能否还款,有线网应该是月底吧,有线网应该是月底吧,5.4,不同意明日还款,no
47,df,4.2,询问明日能否还款,我都转接到十五号才能处理的我也不想,我都转接到十五号才能处理的我也不想,5.4,不同意明日还款,no
48,RESC,4.2,询问明日能否还款,呃两个星期也没有啊,呃两个星期也没有啊,5.4,不同意明日还款,no
49,df,4.2,询问明日能否还款,嗯那个我二十号还二十号,嗯那个我二十号还二十号,5.4,不同意明日还款,no
50,df,4.2,询问明日能否还款,明天应该不行了,明天应该不行了,5.4,不同意明日还款,no
51,RESC,4.2,询问明日能否还款,可能身体在下月初吧,可能身体在下月初吧,5.4,不同意明日还款,no
52,benrenshoucui,4.2,询问明日能否还款,啊啊啊十五号楼吧,啊啊啊十五号楼吧,5.4,不同意明日还款,no
53,RESC,4.2,询问明日能否还款,明天还不行那还没到还没公司吧,明天还不行那还没到还没公司吧,5.4,不同意明日还款,no
54,df,4.2,询问明日能否还款,十号发工资发工资,十号发工资,5.4,不同意明日还款,no
55,GHSC,4.2,询问明日能否还款,您好十三还不了你就是把那个银行卡是了吧算了把信用卡呃这样的话我都不知道怎么办了,您好十三还不了你就是把那个银行卡是了吧算了把信用卡呃这样的话我都不知道怎么办了,5.4,不同意明日还款,no
56,df,4.2,询问明日能否还款,明明天不能,明明天不能,5.4,不同意明日还款,no
57,GHSC,4.2,询问明日能否还款,呃明天晚上还不了我说了到三十一号晚上我工资发下来才能还,呃明天晚上还不了我说了到三十一号晚上我工资发下来才能还,5.4,不同意明日还款,no
58,df,4.2,询问明日能否还款,可能明天够呛不好,可能明天够呛不好,5.4,不同意明日还款,no
59,RESC,4.2,询问明日能否还款,进行不能处理啊过两天吧过几天,进行不能处理啊过两天吧过几天,5.4,不同意明日还款,no
60,GHSC,4.2,询问明日能否还款,哦不还了,哦不还了,5.4,不同意明日还款,no
61,df,4.2,询问明日能否还款,我说现在暂时还没有钱,我说现在暂时还没有钱,5.4,不同意明日还款,no
62,GHSC,4.2,询问明日能否还款,就是现在还不确定啊我现在正在借钱啊不是借不借得到,就是现在还不确定啊我现在正在借钱啊不是借不借得到,5.4,不同意明日还款,no
63,benrenshoucui,4.2,询问明日能否还款,三天以后呢,三天以后呢,5.4,不同意明日还款,no
64,df,4.2,询问明日能否还款,明天不可能明天不行你,明天不可能明天不行你,5.4,不同意明日还款,no
65,RESC,4.2,询问明日能否还款,嗯那处理不了呀,嗯那处理不了呀,5.4,不同意明日还款,no
66,GHSC,4.2,询问明日能否还款,我还不了我想重新贷款啊,我还不了我想重新贷款啊,5.4,不同意明日还款,no
67,GHSC,4.2,询问明日能否还款,我们那个车都没有了我还还款还什么款,我们那个车都没有了我还还款还什么款,5.4,不同意明日还款,no
68,df,4.2,询问明日能否还款,要还不上吧,要还不上吧,5.4,不同意明日还款,no
69,GHSC,4.2,询问明日能否还款,无穷六百决定明天吧没钱,无穷六百决定明天吧没钱,5.4,不同意明日还款,no
70,benrenshoucui,4.2,询问明日能否还款,好不上,好不上,5.4,不同意明日还款,no
71,RESC,4.2,询问明日能否还款,哎到五号左右吧,哎到五号左右吧,5.4,不同意明日还款,no
72,benrenshoucui,4.2,询问明日能否还款,没有没有明天可以钱没嗯嗯好,没有明天可以钱没嗯好,5.4,不同意明日还款,no
73,GHSC,4.2,询问明日能否还款,我还不上,我还不上,5.4,不同意明日还款,no
74,RESC,4.2,询问明日能否还款,明天暂时不能要等下个月初一,明天暂时不能要等下个月初一,5.4,不同意明日还款,no
75,GHSC,4.2,询问明日能否还款,估计处理不了,估计处理不了,5.4,不同意明日还款,no
76,GHSC,4.2,询问明日能否还款,明天你明天弄不了因为没网络嘛,明天你明天弄不了因为没网络嘛,5.4,不同意明日还款,no
77,RESC,4.2,询问明日能否还款,可能最近都不行要到月底,可能最近都不行要到月底,5.4,不同意明日还款,no
78,GHSC,4.2,询问明日能否还款,四周五啊,四周五啊,5.4,不同意明日还款,no
79,GHSC,4.2,询问明日能否还款,啊还不了那我先还一下飞机还快吧,啊还不了那我先还一下飞机还快吧,5.4,不同意明日还款,no
80,GHSC,4.2,询问明日能否还款,没钱怎么红,没钱怎么红,5.4,不同意明日还款,no
81,GHSC,4.2,询问明日能否还款,明天晚上八点不不行呢,明天晚上八点不不行呢,5.4,不同意明日还款,no
82,GHSC,4.2,询问明日能否还款,还不了啊,还不了啊,5.4,不同意明日还款,no
83,RESC,4.2,询问明日能否还款,不能处理,不能处理,5.4,不同意明日还款,no
84,benrenshoucui,4.2,询问明日能否还款,没没去公司,没去公司,5.4,不同意明日还款,no
85,df,4.2,询问明日能否还款,我要过几天明天都处理不了,我要过几天明天都处理不了,5.4,不同意明日还款,no
86,GHSC,4.2,询问明日能否还款,明天晚上也不行了呀三天三点钟我才到家到家我就去处理我知道这个事情我没有办法呀不知道,明天晚上也不行了呀三天三点钟我才到家到家我就去处理我知道这个事情我没有办法呀不知道,5.4,不同意明日还款,no
87,df,4.2,询问明日能否还款,哎呀你能不能帮我申请到二十号去呀,哎呀你能不能帮我申请到二十号去呀,5.4,不同意明日还款,no
88,RESC,4.2,询问明日能否还款,哎明天处理不了怪都过几天吧,哎明天处理不了怪都过几天吧,5.4,不同意明日还款,no
89,GHSC,4.2,询问明日能否还款,我现在我现在是没有能力了看看,我现在我现在是没有能力了看看,5.4,不同意明日还款,no
90,RESC,4.2,询问明日能否还款,明天能不能到到月底一点啊,明天能不能到月底一点啊,5.4,不同意明日还款,no
91,GHSC,4.2,询问明日能否还款,没有钱现在没有钱反正给,没有钱现在没有钱反正给,5.4,不同意明日还款,no
92,GHSC,4.2,询问明日能否还款,这样还不能输入呢还没钱要上个月,这样还不能输入呢还没钱要上个月,5.4,不同意明日还款,no
93,RESC,4.2,询问明日能否还款,嗯嗯我不知道因为我手上没有钱我的解一下我不确定能不能不懂,嗯我不知道因为我手上没有钱我的解一下我不确定能不能不懂,5.4,不同意明日还款,no
94,benrenshoucui,4.2,询问明日能否还款,明天还是没有空啊,明天还是没有空啊,5.4,不同意明日还款,no
95,benrenshoucui,4.2,询问明日能否还款,明天没办法我说要跟他们协商好,明天没办法我说要跟他们协商好,5.4,不同意明日还款,no
96,RESC,4.2,询问明日能否还款,明天还不行再过个十天八天的吧,明天还不行再过个十天八天的吧,5.4,不同意明日还款,no
97,GHSC,4.2,询问明日能否还款,哎呀我也想还款我现在暂时没有能力了,哎呀我也想还款我现在暂时没有能力了,5.4,不同意明日还款,no
98,GHSC,4.2,询问明日能否还款,嗯这两天没拿到钱都返还不上就最低还款还不上就是过两天嘛就一号就是月底它的时候啊,嗯这两天没拿到钱都返还不上就最低还款还不上就是过两天嘛就一号就是月底它的时候啊,5.4,不同意明日还款,no
99,benrenshoucui,4.2,询问明日能否还款,明天也不行,明天也不行,5.4,不同意明日还款,no
100,df,4.2,询问明日能否还款,你到了你下个月,你到了你下个月,5.4,不同意明日还款,no
101,RESC,4.2,询问明日能否还款,津段时间都处理不了啊,津段时间都处理不了啊,5.4,不同意明日还款,no
102,GHSC,4.2,询问明日能否还款,十三号之前,十三号之前,5.4,不同意明日还款,no
103,RESC,4.2,询问明日能否还款,嗯嗯最近还不起怎么办呢,嗯最近还不起怎么办呢,5.4,不同意明日还款,no
104,GHSC,4.2,询问明日能否还款,明天不行嘛就是,明天不行嘛就是,5.4,不同意明日还款,no
105,benrenshoucui,4.2,询问明日能否还款,明天不能十二号,明天不能十二号,5.4,不同意明日还款,no
106,RESC,4.2,询问明日能否还款,啊明天也处理不好今天因为现在身上没钱了,啊明天也处理不好今天因为现在身上没钱了,5.4,不同意明日还款,no
107,df,4.2,询问明日能否还款,明天不行呢可能要到,明天不行呢可能要到,5.4,不同意明日还款,no
108,benrenshoucui,4.2,询问明日能否还款,嗯五月二十二号,嗯五月二十二号,5.4,不同意明日还款,no
109,GHSC,4.2,询问明日能否还款,没钱呢,没钱呢,5.4,不同意明日还款,no
110,RESC,4.2,询问明日能否还款,这两天这两天有点难度,这两天这两天有点难度,5.4,不同意明日还款,no
111,GHSC,4.2,询问明日能否还款,哦我我要我要不过我要我要月初那时候才拿到,哦我要我要不过我要我要月初那时候才拿到,5.4,不同意明日还款,no
112,benrenshoucui,4.2,询问明日能否还款,明天不行啊,明天不行啊,5.4,不同意明日还款,no
113,RESC,4.2,询问明日能否还款,明天明天可能也不行,明天可能也不行,5.4,不同意明日还款,no
114,df,4.2,询问明日能否还款,明天退不了,明天退不了,5.4,不同意明日还款,no
115,df,4.2,询问明日能否还款,啊我二十六号能够处理,啊我二十六号能够处理,5.4,不同意明日还款,no
116,GHSC,4.2,询问明日能否还款,恩因为我现在工作但是你他工作的工资发不下来啊不下来我也没办法嗯,恩因为我现在工作但是你他工作的工资发不下来啊不下来我也没办法嗯,5.4,不同意明日还款,no
117,df,4.2,询问明日能否还款,哦对因为我我这两天没有方方知道怎么那个呃这个最最最最长一年是多少能不能延迟一点,哦对因为我这两天没有方方知道怎么那个呃这个最最最最长一年是多少能不能延迟一点,5.4,不同意明日还款,no
118,GHSC,4.2,询问明日能否还款,我就是就是申请延期几天吗,我就是申请延期几天吗,5.4,不同意明日还款,no
119,RESC,4.2,询问明日能否还款,明天明天处理布料估计得一个星期左右,明天处理布料估计得一个星期左右,5.4,不同意明日还款,no
120,GHSC,4.2,询问明日能否还款,我自己身体我最近生病了,我自己身体我最近生病了,5.4,不同意明日还款,no
121,RESC,4.2,询问明日能否还款,我估计要六月份才能处理,我估计要六月份才能处理,5.4,不同意明日还款,no
122,benrenshoucui,4.2,询问明日能否还款,明天也没钱,明天也没钱,5.4,不同意明日还款,no
123,GHSC,4.2,询问明日能否还款,明天应该不行,明天应该不行,5.4,不同意明日还款,no
124,df,4.2,询问明日能否还款,明天不行十号售后,明天不行十号售后,5.4,不同意明日还款,no
125,df,4.2,询问明日能否还款,明天可能搞不好啊明天不行,明天可能搞不好啊明天不行,5.4,不同意明日还款,no
126,benrenshoucui,4.2,询问明日能否还款,明天也不行可能你要星期二左右吧,明天也不行可能你要星期二左右吧,5.4,不同意明日还款,no
127,RESC,4.2,询问明日能否还款,好的七月份,好的七月份,5.4,不同意明日还款,no
128,df,4.2,询问明日能否还款,知道知道我还没发工资啊,知道我还没发工资啊,5.4,不同意明日还款,no
129,df,4.2,询问明日能否还款,我没钱,我没钱,5.4,不同意明日还款,no
130,GHSC,4.2,询问明日能否还款,对吗三号以后吧,对吗三号以后吧,5.4,不同意明日还款,no
131,GHSC,4.2,询问明日能否还款,没钱现在一分钱都没有四月就说你钱啊现在,没钱现在一分钱都没有四月就说你钱啊现在,5.4,不同意明日还款,no
132,benrenshoucui,4.2,询问明日能否还款,明天不行礼拜礼拜二,明天不行礼拜礼拜二,5.4,不同意明日还款,no
133,RESC,4.2,询问明日能否还款,月底才能处理,月底才能处理,5.4,不同意明日还款,no
134,RESC,4.2,询问明日能否还款,不敢当点半我的身份证掉了我补办身份证我才不过我的证件我的包掉了我的身份证我的卡了没全部在里面,不敢当点半我的身份证掉了我补办身份证我才不过我的证件我的包掉了我的身份证我的卡了没全部在里面,5.4,不同意明日还款,no
135,RESC,4.2,询问明日能否还款,知道现在是因为很困难,知道现在是因为很困难,5.4,不同意明日还款,no
136,RESC,4.2,询问明日能否还款,没钱呀,没钱呀,5.4,不同意明日还款,no
137,GHSC,4.2,询问明日能否还款,这个有点难了,这个有点难了,5.4,不同意明日还款,no
138,df,4.2,询问明日能否还款,我这个不一定我现在就是说的我还不上这个钱了我要求你们把车生活就得到,我这个不一定我现在就是说的我还不上这个钱了我要求你们把车生活就得到,5.4,不同意明日还款,no
139,GHSC,4.2,询问明日能否还款,没钱处理,没钱处理,5.4,不同意明日还款,no
140,RESC,4.2,询问明日能否还款,哦估计有点困难吗,哦估计有点困难吗,5.4,不同意明日还款,no
141,GHSC,4.2,询问明日能否还款,好像不容了这个要十号啊,好像不容了这个要十号啊,5.4,不同意明日还款,no
142,RESC,4.2,询问明日能否还款,米我对上十一号才能处理,米我对上十一号才能处理,5.4,不同意明日还款,no
143,df,4.2,询问明日能否还款,你处理不了啊你要月底呀,你处理不了啊你要月底呀,5.4,不同意明日还款,no
144,df,4.2,询问明日能否还款,啊我知道我这这个月能不能玩了玩两天完了我就我这个月,啊我知道我这这个月能不能玩了玩两天完了我就我这个月,5.4,不同意明日还款,no
145,GHSC,4.2,询问明日能否还款,处理不了要下个月十号,处理不了要下个月十号,5.4,不同意明日还款,no
146,df,4.2,询问明日能否还款,二十九号上午的下午可以吗,二十九号上午的下午可以吗,5.4,不同意明日还款,no
147,GHSC,4.2,询问明日能否还款,啊那行我过几天再再再还明天晚上明天晚上不可能还出来还不出来呀,啊那行我过几天再还明天晚上明天晚上不可能还出来还不出来呀,5.4,不同意明日还款,no
148,df,4.2,询问明日能否还款,我现在在外地呢啊,我现在在外地呢啊,5.4,不同意明日还款,no
149,RESC,4.2,询问明日能否还款,下个月吧,下个月吧,5.4,不同意明日还款,no
150,GHSC,4.2,询问明日能否还款,不能月初吧好不好,不能月初吧好不好,5.4,不同意明日还款,no
151,benrenshoucui,4.2,询问明日能否还款,我明天做不了我最快下周,我明天做不了我最快下周,5.4,不同意明日还款,no
152,GHSC,4.2,询问明日能否还款,不暂时出不了我给你钱,不暂时出不了我给你钱,5.4,不同意明日还款,no
153,RESC,4.2,询问明日能否还款,明天不行的发工资吧,明天不行的发工资吧,5.4,不同意明日还款,no
154,df,4.2,询问明日能否还款,或在国外,或在国外,5.4,不同意明日还款,no
155,RESC,4.2,询问明日能否还款,嗯对暂时处理不了,嗯对暂时处理不了,5.4,不同意明日还款,no
156,benrenshoucui,4.2,询问明日能否还款,嗯现在还不确定我尽量想办法好吧,嗯现在还不确定我尽量想办法好吧,5.4,不同意明日还款,no
157,RESC,4.2,询问明日能否还款,这两千多不行没钱,这两千多不行没钱,5.4,不同意明日还款,no
158,benrenshoucui,4.2,询问明日能否还款,我有钱就还了,我有钱就还了,5.4,不同意明日还款,no
159,GHSC,4.2,询问明日能否还款,没有也没有时间,没有也没有时间,5.4,不同意明日还款,no
160,GHSC,4.2,询问明日能否还款,就是都没钱有钱干嘛老是叫我还款,就是都没钱有钱干嘛老是叫我还款,5.4,不同意明日还款,no
161,benrenshoucui,4.2,询问明日能否还款,没有钱花不上二十四号,没有钱花不上二十四号,5.4,不同意明日还款,no
162,RESC,4.2,询问明日能否还款,明天还不行我说的话他们过几天,明天还不行我说的话他们过几天,5.4,不同意明日还款,no
163,RESC,4.2,询问明日能否还款,八月份以前的七月份全部搞定,八月份以前的七月份全部搞定,5.4,不同意明日还款,no
164,GHSC,4.2,询问明日能否还款,我都说迟几天写吗,我都说迟几天写吗,5.4,不同意明日还款,no
165,benrenshoucui,4.2,询问明日能否还款,这段时间都处理不了啊,这段时间都处理不了啊,5.4,不同意明日还款,no
166,RESC,4.2,询问明日能否还款,你这几个月没工资,你这几个月没工资,5.4,不同意明日还款,no
167,GHSC,4.2,询问明日能否还款,我给不了啊,我给不了啊,5.4,不同意明日还款,no
168,GHSC,4.2,询问明日能否还款,下个礼拜,下个礼拜,5.4,不同意明日还款,no
169,RESC,4.2,询问明日能否还款,星期二人处理,星期二人处理,5.4,不同意明日还款,no
170,GHSC,4.2,询问明日能否还款,嗯我现在没有要到下个月我发工资才有现在,嗯我现在没有要到下个月我发工资才有现在,5.4,不同意明日还款,no
171,GHSC,4.2,询问明日能否还款,段时间没办法呢,段时间没办法呢,5.4,不同意明日还款,no
172,RESC,4.2,询问明日能否还款,你现在处理不了我觉得孩子那个医院的治疗,你现在处理不了我觉得孩子那个医院的治疗,5.4,不同意明日还款,no
173,benrenshoucui,4.2,询问明日能否还款,三天,三天,5.4,不同意明日还款,no
174,benrenshoucui,4.2,询问明日能否还款,啊明天不,啊明天不,5.4,不同意明日还款,no
175,GHSC,4.2,询问明日能否还款,明天明天是礼拜天而还没有发工资,明天是礼拜天而还没有发工资,5.4,不同意明日还款,no
176,df,4.2,询问明日能否还款,明天可能到不了位,明天可能到不了位,5.4,不同意明日还款,no
177,GHSC,4.2,询问明日能否还款,明天明天可能不行,明天可能不行,5.4,不同意明日还款,no
178,df,4.2,询问明日能否还款,明天也存不了估计到时候,明天也存不了估计到时候,5.4,不同意明日还款,no
179,benrenshoucui,4.2,询问明日能否还款,三天嘛关键我三天,三天嘛关键我三天,5.4,不同意明日还款,no
180,RESC,4.2,询问明日能否还款,嗯我抓紧时间吧半年时间,嗯我抓紧时间吧半年时间,5.4,不同意明日还款,no
181,RESC,4.2,询问明日能否还款,最近都没没有,最近都没没有,5.4,不同意明日还款,no
182,GHSC,4.2,询问明日能否还款,我没有时间了没有没有资金呀晚上,我没有时间了没有资金呀晚上,5.4,不同意明日还款,no
183,df,4.2,询问明日能否还款,明天可能去不了啊,明天可能去不了啊,5.4,不同意明日还款,no
184,GHSC,4.2,询问明日能否还款,我的七月一号早上我就还上好吧,我的七月一号早上我就还上好吧,5.4,不同意明日还款,no
185,benrenshoucui,4.2,询问明日能否还款,哦明天处理不上,哦明天处理不上,5.4,不同意明日还款,no
186,GHSC,4.2,询问明日能否还款,我没法还,我没法还,5.4,不同意明日还款,no
187,GHSC,4.2,询问明日能否还款,是这段时间有困难,是这段时间有困难,5.4,不同意明日还款,no
188,benrenshoucui,4.2,询问明日能否还款,不太后天,不太后天,5.4,不同意明日还款,no
189,RESC,4.2,询问明日能否还款,然后之前放心吧然后之前然后之前十号之前,然后之前放心吧然后之前然后之前十号之前,5.4,不同意明日还款,no
190,benrenshoucui,4.2,询问明日能否还款,哦一个星期可以吧,哦一个星期可以吧,5.4,不同意明日还款,no
191,GHSC,4.2,询问明日能否还款,还不了,还不了,5.4,不同意明日还款,no
192,GHSC,4.2,询问明日能否还款,呃我的呃八月二十号以前就扣,呃我的呃八月二十号以前就扣,5.4,不同意明日还款,no
193,benrenshoucui,4.2,询问明日能否还款,十三号文处理,十三号文处理,5.4,不同意明日还款,no
194,benrenshoucui,4.2,询问明日能否还款,嗯嗯明天不行,嗯明天不行,5.4,不同意明日还款,no
195,df,4.2,询问明日能否还款,我现在目前外地,我现在目前外地,5.4,不同意明日还款,no
196,GHSC,4.2,询问明日能否还款,嗯我现在没有什么有钱处理,嗯我现在没有什么有钱处理,5.4,不同意明日还款,no
197,benrenshoucui,4.2,询问明日能否还款,明天就就顾不上,明天就顾不上,5.4,不同意明日还款,no
198,GHSC,4.2,询问明日能否还款,嗯短时间没办法,嗯短时间没办法,5.4,不同意明日还款,no
199,GHSC,4.2,询问明日能否还款,哎月底,哎月底,5.4,不同意明日还款,no
200,GHSC,4.2,询问明日能否还款,呃没有办法现在还没有结算现在,呃没有办法现在还没有结算现在,5.4,不同意明日还款,no
201,df,4.2,询问明日能否还款,明天处理不了我我这两天没钱的那天今天早上打电话借钱他说是二十六号给我们都等到二十六号,明天处理不了我这两天没钱的那天今天早上打电话借钱他说是二十六号给我们都等到二十六号,5.4,不同意明日还款,no
202,GHSC,4.2,询问明日能否还款,那个出版商月底不到你的话我没办法现在,那个出版商月底不到你的话我没办法现在,5.4,不同意明日还款,no
203,GHSC,4.2,询问明日能否还款,是现在没那么多钱,是现在没那么多钱,5.4,不同意明日还款,no
204,GHSC,4.2,询问明日能否还款,可不可以用可不可以十号啊,可不可以用可不可以十号啊,5.4,不同意明日还款,no
205,GHSC,4.2,询问明日能否还款,资金周转不过来,资金周转不过来,5.4,不同意明日还款,no
206,benrenshoucui,4.2,询问明日能否还款,不了明天都不理,不了明天都不理,5.4,不同意明日还款,no
207,benrenshoucui,4.2,询问明日能否还款,明天不能,明天不能,5.4,不同意明日还款,no
208,RESC,4.2,询问明日能否还款,明天没有,明天没有,5.4,不同意明日还款,no
209,GHSC,4.2,询问明日能否还款,可是现在没钱了,可是现在没钱了,5.4,不同意明日还款,no
210,df,4.2,询问明日能否还款,我现在在老家存不上,我现在在老家存不上,5.4,不同意明日还款,no
211,RESC,4.2,询问明日能否还款,恩到二十八九号吧,恩到二十八九号吧,5.4,不同意明日还款,no
212,GHSC,4.2,询问明日能否还款,二十三号晚上我去,二十三号晚上我去,5.4,不同意明日还款,no
213,RESC,4.2,询问明日能否还款,明天做点不了,明天做点不了,5.4,不同意明日还款,no
214,df,4.2,询问明日能否还款,你处理不了啊,你处理不了啊,5.4,不同意明日还款,no
215,df,4.2,询问明日能否还款,我点不了啊,我点不了啊,5.4,不同意明日还款,no
216,GHSC,4.2,询问明日能否还款,我我我我下个月还吗,我下个月还吗,5.4,不同意明日还款,no
217,RESC,4.2,询问明日能否还款,嗯嗯不是我得那就下个月吧明天也不行,嗯不是我得那就下个月吧明天也不行,5.4,不同意明日还款,no
218,RESC,4.2,询问明日能否还款,哦我知道将近月底把这等发工资以后,哦我知道将近月底把这等发工资以后,5.4,不同意明日还款,no
219,GHSC,4.2,询问明日能否还款,现在处理不了啊,现在处理不了啊,5.4,不同意明日还款,no
220,RESC,4.2,询问明日能否还款,还不上我没有见,还不上我没有见,5.4,不同意明日还款,no
221,GHSC,4.2,询问明日能否还款,处理不好要十五号啊,处理不好要十五号啊,5.4,不同意明日还款,no
222,RESC,4.2,询问明日能否还款,至少知道目前有点紧张再过几天好吧,至少知道目前有点紧张再过几天好吧,5.4,不同意明日还款,no
223,benrenshoucui,4.2,询问明日能否还款,啊没办法,啊没办法,5.4,不同意明日还款,no
224,df,4.2,询问明日能否还款,处理不了我要星期一,处理不了我要星期一,5.4,不同意明日还款,no
225,df,4.2,询问明日能否还款,十号还款,十号还款,5.4,不同意明日还款,no
226,benrenshoucui,4.2,询问明日能否还款,明天搞不了估计到二十五号吧今天二十三号吧,明天搞不了估计到二十五号吧今天二十三号吧,5.4,不同意明日还款,no
227,GHSC,4.2,询问明日能否还款,处理不了现在,处理不了现在,5.4,不同意明日还款,no
