id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
104,GHSC,3.5,请求转告,哦哦那我爸爸回来我再告诉他吧,哦那我爸爸回来我再告诉他吧,4.6,同意转告,yes
105,GHSC,3.5,请求转告,有什么业务处理啊你说啊,有什么业务处理啊你说啊,4.6,同意转告,yes
106,benrenshoucui,3.5,请求转告,啊好了好了嗯,啊好了嗯,4.6,同意转告,yes
107,benrenshoucui,3.5,请求转告,恩好的我告诉他我,恩好的我告诉他我,4.6,同意转告,yes
108,benrenshoucui,3.5,请求转告,嗯嗯已经已经付了已经给已经转了,嗯已经付了已经给已经转了,4.6,同意转告,yes
109,benrenshoucui,3.5,请求转告,哦好的好的嗯,哦好的嗯,4.6,同意转告,yes
110,RESC,3.5,请求转告,啊你告诉我就行了,啊你告诉我就行了,4.6,同意转告,yes
111,benrenshoucui,3.5,请求转告,转告他,转告他,4.6,同意转告,yes
112,RESC,3.5,请求转告,哦哦那行我我转告他吧,哦那行我转告他吧,4.6,同意转告,yes
113,df,3.5,请求转告,号好明年明天让他交上,号好明年明天让他交上,4.6,同意转告,yes
114,benrenshoucui,3.5,请求转告,嗯嗯行行我知道我知道我帮你找一下了,嗯行行我知道我帮你找一下了,4.6,同意转告,yes
115,RESC,3.5,请求转告,哦好的转告他转告的好的,哦好的转告他转告的好的,4.6,同意转告,yes
116,df,3.5,请求转告,啊我给他说一下吧在你们,啊我给他说一下吧在你们,4.6,同意转告,yes
117,GHSC,3.5,请求转告,啊好的好的我跟他说,啊好的我跟他说,4.6,同意转告,yes
118,GHSC,3.5,请求转告,好的他在这里你是跟他讲,好的他在这里你是跟他讲,4.6,同意转告,yes
119,df,3.5,请求转告,可以可以我让他晚上给你转过去上才八点多好吧,可以我让他晚上给你转过去上才八点多好吧,4.6,同意转告,yes
120,df,3.5,请求转告,嚎好好他明天意思明天给你转过来了他现在在硅烷这边连接那边,嚎好好他明天意思明天给你转过来了他现在在硅烷这边连接那边,4.6,同意转告,yes
121,benrenshoucui,3.5,请求转告,好的我去告诉他一声什么时候需要还呀,好的我去告诉他一声什么时候需要还呀,4.6,同意转告,yes
122,benrenshoucui,3.5,请求转告,可以呀让我帮你转告吧,可以呀让我帮你转告吧,4.6,同意转告,yes
123,GHSC,3.5,请求转告,哦那行那我知道了好,哦那行那我知道了好,4.6,同意转告,yes
124,GHSC,3.5,请求转告,有什么问题啊你跟我说我给他说,有什么问题啊你跟我说我给他说,4.6,同意转告,yes
125,benrenshoucui,3.5,请求转告,我需要联系一下他,我需要联系一下他,4.6,同意转告,yes
126,GHSC,3.5,请求转告,你说,你说,4.6,同意转告,yes
127,df,3.5,请求转告,好我看见了我我打电话给他我给他他就涨价他说的买回来呢,好我看见了我打电话给他我给他就涨价他说的买回来呢,4.6,同意转告,yes
128,benrenshoucui,3.5,请求转告,型的回来我跟她说吧,型的回来我跟她说吧,4.6,同意转告,yes
129,benrenshoucui,3.5,请求转告,好的好的好的等一下他我等一下过去把他告诉他,好的等一下他我等一下过去把他告诉他,4.6,同意转告,yes
130,benrenshoucui,3.5,请求转告,哦已经告诉了,哦已经告诉了,4.6,同意转告,yes
131,benrenshoucui,3.5,请求转告,可以的我可以帮忙转告,可以的我可以帮忙转告,4.6,同意转告,yes
132,RESC,3.5,请求转告,要他醒来我问一下他嘛他现在是昏迷正在住院要想起来我问一下他可以吧,要他醒来我问一下他嘛他现在是昏迷正在住院要想起来我问一下他可以吧,4.6,同意转告,yes
133,df,3.5,请求转告,嗯我知道我知道我会跟他说我跟你刚才跟你说了吗我是柜台说你之前处理完,嗯我知道我会跟他说我跟你刚才跟你说了吗我是柜台说你之前处理完,4.6,同意转告,yes
134,benrenshoucui,3.5,请求转告,哦好的好的好的行,哦好的行,4.6,同意转告,yes
135,GHSC,3.5,请求转告,我通知栏先生呢,我通知栏先生呢,4.6,同意转告,yes
136,GHSC,3.5,请求转告,那你给我说我在嗯,那你给我说我在嗯,4.6,同意转告,yes
137,benrenshoucui,3.5,请求转告,啊我知道我跟她说吧,啊我知道我跟她说吧,4.6,同意转告,yes
138,benrenshoucui,3.5,请求转告,哦好的好的可以,哦好的可以,4.6,同意转告,yes
139,df,3.5,请求转告,知道了我我我跟他讲一下回来,知道了我跟他讲一下回来,4.6,同意转告,yes
140,benrenshoucui,3.5,请求转告,型啊,型啊,4.6,同意转告,yes
141,RESC,3.5,请求转告,我我我跟他说了我告诉他他现在现在在医院都不知道是没法说话他让花了过后他会尽快还的,我跟他说了我告诉他现在在医院都不知道是没法说话他让花了过后他会尽快还的,4.6,同意转告,yes
142,benrenshoucui,3.5,请求转告,能不能晚上回去我告诉他们,能不能晚上回去我告诉他们,4.6,同意转告,yes
143,df,3.5,请求转告,他这边呃这还得一千块嘛马上就这块,他这边呃这还得一千块嘛马上就这块,4.6,同意转告,yes
144,GHSC,3.5,请求转告,哦好的好的好的什么业务呢我可以跟他说一遍,哦好的什么业务呢我可以跟他说一遍,4.6,同意转告,yes
145,benrenshoucui,3.5,请求转告,好好华,好好华,4.6,同意转告,yes
146,RESC,3.5,请求转告,能啊您说,能啊您说,4.6,同意转告,yes
147,GHSC,3.5,请求转告,哦好我等一下跟他说,哦好我等一下跟他说,4.6,同意转告,yes
148,benrenshoucui,3.5,请求转告,我帮您转达一下好了吧,我帮您转达一下好了吧,4.6,同意转告,yes
149,GHSC,3.5,请求转告,打错电话了吧,打错电话了吧,4.7,否定,no
150,benrenshoucui,3.5,请求转告,我现在都不知道他在哪里呀,我现在都不知道他在哪里呀,4.7,否定,no
151,benrenshoucui,3.5,请求转告,对没有人,对没有人,4.7,否定,no
152,GHSC,3.5,请求转告,不是我不知道他,不是我不知道他,4.7,否定,no
153,GHSC,3.5,请求转告,不是啊,不是啊,4.7,否定,no
154,benrenshoucui,3.5,请求转告,不是不是,不是,4.7,否定,no
155,GHSC,3.5,请求转告,不是的问题,不是的问题,4.7,否定,no
156,GHSC,3.5,请求转告,弄不了就是,弄不了就是,4.7,否定,no
157,benrenshoucui,3.5,请求转告,不是不是不是,不是,4.7,否定,no
158,GHSC,3.5,请求转告,不行啊代,不行啊代,4.7,否定,no
159,benrenshoucui,3.5,请求转告,我不知道我不知道,我不知道我不知道,4.6,否定,no
160,GHSC,3.5,请求转告,我不会,我不会,4.7,否定,no
161,df,3.5,请求转告,没有吧,没有吧,4.7,否定,no
162,GHSC,3.5,请求转告,算了,算了,4.7,否定,no
163,GHSC,3.5,请求转告,我不知道啊,我不知道啊,4.7,否定,no
164,benrenshoucui,3.5,请求转告,那是他的事跟我没关系我不,那是他的事跟我没关系我不,4.7,否定,no
165,RESC,3.5,请求转告,不行,不行,4.7,否定,no
166,benrenshoucui,3.5,请求转告,不是不用打了挂,不是不用打了挂,4.7,否定,no
167,benrenshoucui,3.5,请求转告,不是,不是,4.7,否定,no
168,GHSC,3.5,请求转告,没有啊,没有啊,4.7,否定,no
169,benrenshoucui,3.5,请求转告,没,没,4.7,否定,no
170,benrenshoucui,3.5,请求转告,没空,没空,4.7,否定,no
171,GHSC,3.5,请求转告,不是你发,不是你发,4.7,否定,no
172,benrenshoucui,3.5,请求转告,不是那不是不是,不是那不是,4.7,否定,no
173,GHSC,3.5,请求转告,不行啊二,不行啊二,4.7,否定,no
174,GHSC,3.5,请求转告,不是它叫什么名,不是它叫什么名,4.7,否定,no
175,benrenshoucui,3.5,请求转告,不行呢,不行呢,4.7,否定,no
176,RESC,3.5,请求转告,没有嗯嗯,没有嗯,4.7,否定,no
177,GHSC,3.5,请求转告,不要啊,不要啊,4.7,否定,no
178,GHSC,3.5,请求转告,不知道我我不知道啊,不知道我不知道啊,4.7,否定,no
179,RESC,3.5,请求转告,没有了,没有了,4.7,否定,no
180,GHSC,3.5,请求转告,不是常用啊,不是常用啊,4.7,否定,no
181,GHSC,3.5,请求转告,不是呀,不是呀,4.7,否定,no
182,benrenshoucui,3.5,请求转告,啊好我不知道呗我说说他,啊好我不知道呗我说他,4.7,否定,no
183,GHSC,3.5,请求转告,我不认识不认识,我不认识不认识,4.7,否定,no
184,benrenshoucui,3.5,请求转告,啊没有啊你现在可以华夏呢,啊没有啊你现在可以华夏呢,4.7,否定,no
185,GHSC,3.5,请求转告,啊我也不知道啊,啊我也不知道啊,4.7,否定,no
186,RESC,3.5,请求转告,没有没有谢谢嗯,没有谢谢嗯,4.7,否定,no
187,RESC,3.5,请求转告,啊不是,啊不是,4.7,否定,no
188,benrenshoucui,3.5,请求转告,嗯没有,嗯没有,4.7,否定,no
189,df,3.5,请求转告,不,不,4.7,否定,no
190,GHSC,3.5,请求转告,不是是,不是是,4.7,否定,no
191,GHSC,3.5,请求转告,不是这个,不是这个,4.7,否定,no
192,benrenshoucui,3.5,请求转告,没有,没有,4.7,否定,no
193,benrenshoucui,3.5,请求转告,我人不着打不着,我人不着打不着,4.7,否定,no
194,GHSC,3.5,请求转告,嗯我不清楚啊,嗯我不清楚啊,4.7,否定,no
195,GHSC,3.5,请求转告,那我不知道啊,那我不知道啊,4.7,否定,no
196,benrenshoucui,3.5,请求转告,不知道,不知道,4.7,否定,no
197,GHSC,3.5,请求转告,哎呀我不知道,哎呀我不知道,4.7,否定,no
198,GHSC,3.5,请求转告,不是喂,不是喂,4.7,否定,no
199,benrenshoucui,3.5,请求转告,我都现在都没接不上他了你们还老是打电话给我,我都现在都没接不上他了你们还老是打电话给我,4.7,否定,no
200,GHSC,3.5,请求转告,我都不知道他是谁我怎么,我都不知道他是谁我怎么,4.7,否定,no
201,benrenshoucui,3.5,请求转告,我不知道找不着,我不知道找不着,4.7,否定,no
202,RESC,3.5,请求转告,不知道啊,不知道啊,4.7,否定,no
203,benrenshoucui,3.5,请求转告,请不要,请不要,4.7,否定,no
204,GHSC,3.5,请求转告,不行你给他吧,不行你给他吧,4.7,否定,no
205,benrenshoucui,3.5,请求转告,那我不知道我,那我不知道我,4.7,否定,no
206,GHSC,3.5,请求转告,我不知道他,我不知道他,4.7,否定,no
207,df,3.5,请求转告,不好,不好,4.7,否定,no
208,GHSC,3.5,请求转告,啊我不是说不可以啊,啊我不是说不可以啊,4.7,否定,no
209,RESC,3.5,请求转告,没有没有没有没有,没有,4.7,否定,no
210,RESC,3.5,请求转告,没啦,没啦,4.7,否定,no
211,RESC,3.5,请求转告,嗯没有没有,嗯没有,4.7,否定,no
212,GHSC,3.5,请求转告,我就是不知道,我就是不知道,4.7,否定,no
213,GHSC,3.5,请求转告,包括你那里是啊我不知道啊,包括你那里是啊我不知道啊,4.7,否定,no
214,GHSC,3.5,请求转告,哎算了,哎算了,4.7,否定,no
215,GHSC,3.5,请求转告,哎不,哎不,4.7,否定,no
216,GHSC,3.5,请求转告,我不认识他,我不认识他,4.7,否定,no
217,GHSC,3.5,请求转告,不知道这,不知道这,4.7,否定,no
218,GHSC,3.5,请求转告,不影响,不影响,4.7,否定,no
219,GHSC,3.5,请求转告,不是我不知道哈,不是我不知道哈,4.7,否定,no
220,benrenshoucui,3.5,请求转告,我找不到他,我找不到他,4.7,否定,no
221,benrenshoucui,3.5,请求转告,我现在联系不上吗,我现在联系不上吗,4.7,否定,no
222,GHSC,3.5,请求转告,不是的,不是的,4.7,否定,no
223,GHSC,3.5,请求转告,不好意思我不知道啊,不好意思我不知道啊,4.7,否定,no
224,benrenshoucui,3.5,请求转告,不行啊星期一吧,不行啊星期一吧,4.7,否定,no
225,GHSC,3.5,请求转告,跟你说不是不是还是不行,跟你说不是还是不行,4.7,否定,no
226,df,3.5,请求转告,不行哈,不行哈,4.7,否定,no
227,GHSC,3.5,请求转告,不行谢谢,不行谢谢,4.7,否定,no
228,benrenshoucui,3.5,请求转告,天不行我要,天不行我要,4.7,否定,no
229,RESC,3.5,请求转告,嗯可能不行,嗯可能不行,4.7,否定,no
230,benrenshoucui,3.5,请求转告,坚决不行,坚决不行,4.7,否定,no
231,RESC,3.5,请求转告,嗯嗯不行,嗯不行,4.7,否定,no
232,benrenshoucui,3.5,请求转告,你还不行,你还不行,4.7,否定,no
233,benrenshoucui,3.5,请求转告,又又又不行了,又不行了,4.7,否定,no
234,df,3.5,请求转告,哦不行,哦不行,4.7,否定,no
235,RESC,3.5,请求转告,现在不行,现在不行,4.7,否定,no
236,benrenshoucui,3.5,请求转告,呃不行,呃不行,4.7,否定,no
237,benrenshoucui,3.5,请求转告,人家不行呀,人家不行呀,4.7,否定,no
238,RESC,3.5,请求转告,不可以啊不行,不可以啊不行,4.7,否定,no
239,benrenshoucui,3.5,请求转告,嗯肯定不行啊,嗯肯定不行啊,4.7,否定,no
240,RESC,3.5,请求转告,恐怕不行,恐怕不行,4.7,否定,no
241,benrenshoucui,3.5,请求转告,就不行,就不行,4.7,否定,no
242,GHSC,3.5,请求转告,不是啊不行,不是啊不行,4.7,否定,no
243,benrenshoucui,3.5,请求转告,啊经常不行,啊经常不行,4.7,否定,no
244,RESC,3.5,请求转告,哎你这也不行,哎你这也不行,4.7,否定,no
245,RESC,3.5,请求转告,不行吧,不行吧,4.7,否定,no
246,benrenshoucui,3.5,请求转告,平均不行,平均不行,4.7,否定,no
247,RESC,3.5,请求转告,现在是不行啊,现在是不行啊,4.7,否定,no
248,benrenshoucui,3.5,请求转告,你不行谢谢,你不行谢谢,4.7,否定,no
249,GHSC,3.5,请求转告,不行吗,不行吗,4.7,否定,no
250,RESC,3.5,请求转告,应该还不行,应该还不行,4.7,否定,no
251,RESC,3.5,请求转告,那不行的,那不行的,4.7,否定,no
252,benrenshoucui,3.5,请求转告,现在不行稍等,现在不行稍等,4.7,否定,no
253,benrenshoucui,3.5,请求转告,没有也没有不行,没有也没有不行,4.7,否定,no
254,GHSC,3.5,请求转告,呃我不行啊,呃我不行啊,4.7,否定,no
255,df,3.5,请求转告,都不行,都不行,4.7,否定,no
256,benrenshoucui,3.5,请求转告,知道了钱不用交了行不行,知道了钱不用交了行不行,4.7,否定,no
257,GHSC,3.5,请求转告,不行不行的也你就是你我没,不行的也你就是你我没,4.7,否定,no
258,GHSC,3.5,请求转告,啊不行啊你这个,啊不行啊你这个,4.7,否定,no
259,benrenshoucui,3.5,请求转告,应该过了不行的,应该过了不行的,4.7,否定,no
260,benrenshoucui,3.5,请求转告,我不行不行不行,我不行,4.7,否定,no
261,benrenshoucui,3.5,请求转告,嗯不行稍等,嗯不行稍等,4.7,否定,no
262,GHSC,3.5,请求转告,应该怎么不行了,应该怎么不行了,4.7,否定,no
263,benrenshoucui,3.5,请求转告,不行不行,不行,4.7,否定,no
264,benrenshoucui,3.5,请求转告,这几天不行,这几天不行,4.7,否定,no
265,GHSC,3.5,请求转告,这不行,这不行,4.7,否定,no
266,RESC,3.5,请求转告,现在不行还不行,现在不行还不行,4.7,否定,no
267,GHSC,3.5,请求转告,现在不行了可以,现在不行了可以,4.7,否定,no
268,benrenshoucui,3.5,请求转告,目前不行,目前不行,4.7,否定,no
269,RESC,3.5,请求转告,哦好不行呢,哦好不行呢,4.7,否定,no
270,benrenshoucui,3.5,请求转告,嗯不行,嗯不行,4.7,否定,no
271,df,3.5,请求转告,没有他说我不行,没有他说我不行,4.7,否定,no
272,benrenshoucui,3.5,请求转告,以前不行,以前不行,4.7,否定,no
273,benrenshoucui,3.5,请求转告,天不行,天不行,4.7,否定,no
274,GHSC,3.5,请求转告,请问有什么时侯,请问有什么时侯,-99,无效语义,invalid
275,df,3.5,请求转告,听不到吗,听不到吗,-99,无效语义,invalid
276,df,3.5,请求转告,哦那几天买了晚上就结果电网那就打过去,哦那几天买了晚上就结果电网那就打过去,-99,无效语义,invalid
277,GHSC,3.5,请求转告,穷啦你不妨去因为它会自己会你们肯定去,穷啦你不妨去因为它会自己会你们肯定去,-99,无效语义,invalid
278,benrenshoucui,3.5,请求转告,然后我我给他,然后我给他,-99,无效语义,invalid
279,GHSC,3.5,请求转告,嗯我知道我我听不清楚你要晚点吗,嗯我知道我听不清楚你要晚点吗,-99,无效语义,invalid
280,GHSC,3.5,请求转告,嗯喂喂你,嗯喂喂你,-99,无效语义,invalid
281,benrenshoucui,3.5,请求转告,看到,看到,-99,无效语义,invalid
282,df,3.5,请求转告,那个电话,那个电话,-99,无效语义,invalid
283,GHSC,3.5,请求转告,光棍节要听不清楚啊,光棍节要听不清楚啊,-99,无效语义,invalid
284,GHSC,3.5,请求转告,嗯是什么问题吗,嗯是什么问题吗,-99,无效语义,invalid
285,GHSC,3.5,请求转告,可以联系九五五八八是吧,可以联系九五五八八是吧,-99,无效语义,invalid
286,GHSC,3.5,请求转告,再见谢谢,再见谢谢,-99,无效语义,invalid
287,GHSC,3.5,请求转告,长时间未选择操作我们将为您挂机感谢您来电再见,长时间未选择操作我们将为您挂机感谢您来电再见,-99,无效语义,invalid
288,GHSC,3.5,请求转告,两百,两百,-99,无效语义,invalid
289,GHSC,3.5,请求转告,嗯你说我想查一个,嗯你说我想查一个,-99,无效语义,invalid
